ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE_YEARS,EMPLOYED_SPECIAL_VALUE,EMPLOYED_YEARS,TARGET_BAD,LOG_INCOME
5008804,M,1,1,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,1,0,0,Unknown,2.0,32.9,0,12.4,0,12.965711906537503
5008805,M,1,1,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,1,0,0,Unknown,2.0,32.9,0,12.4,0,12.965711906537503
5008806,M,1,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Security staff,2.0,58.8,0,3.1,0,11.630717389475995
5008808,F,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,1,Sales staff,1.0,52.4,0,8.4,0,12.506180941677357
5008809,F,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,1,Sales staff,1.0,52.4,0,8.4,0,12.506180941677357
5008810,F,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,1,Sales staff,1.0,52.4,0,8.4,0,12.506180941677357
5008811,F,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,1,Sales staff,1.0,52.4,0,8.4,0,12.506180941677357
5008812,F,0,1,0,283500.0,Pensioner,Higher education,Separated,House / apartment,0,0,0,Unknown,1.0,61.5,1,-1.0,0,12.554970929480584
5008813,F,0,1,0,283500.0,Pensioner,Higher education,Separated,House / apartment,0,0,0,Unknown,1.0,61.5,1,-1.0,0,12.554970929480584
5008814,F,0,1,0,283500.0,Pensioner,Higher education,Separated,House / apartment,0,0,0,Unknown,1.0,61.5,1,-1.0,0,12.554970929480584
5008815,M,1,1,0,270000.0,Working,Higher education,Married,House / apartment,1,1,1,Accountants,2.0,46.2,0,2.1,0,12.506180941677357
5112956,M,1,1,0,270000.0,Working,Higher education,Married,House / apartment,1,1,1,Accountants,2.0,46.2,0,2.1,0,12.506180941677357
5008819,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,48.7,0,3.3,0,11.813037464800539
5008820,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,48.7,0,3.3,0,11.813037464800539
5008821,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,48.7,0,3.3,0,11.813037464800539
5008822,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,48.7,0,3.3,0,11.813037464800539
5008823,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,48.7,0,3.3,0,11.813037464800539
5008824,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,48.7,0,3.3,0,11.813037464800539
5008825,F,1,0,0,130500.0,Working,Incomplete higher,Married,House / apartment,0,0,0,Accountants,2.0,29.2,0,3.0,0,11.779136168550774
5008826,F,1,0,0,130500.0,Working,Incomplete higher,Married,House / apartment,0,0,0,Accountants,2.0,29.2,0,3.0,0,11.779136168550774
5008830,F,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2.0,27.5,0,4.0,0,11.967187086434018
5008831,F,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2.0,27.5,0,4.0,0,11.967187086434018
5008832,F,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2.0,27.5,0,4.0,0,11.967187086434018
5008834,F,0,1,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Unknown,2.0,30.0,0,4.4,0,11.630717389475995
5008835,F,0,1,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Unknown,2.0,30.0,0,4.4,0,11.630717389475995
5008836,M,1,1,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,5.0,34.8,0,3.2,0,12.506180941677357
5008837,M,1,1,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,5.0,34.8,0,3.2,0,12.506180941677357
